,Company,Location,Salary,Summary,Title,Job Category
448,"Peloton Advantage, LLC","Parsippany, NJ 07054",Not available,"A doctoral degree in Health Economics, Health Services Research, Biostatistics, Epidemiology, Public Health or other comparable health-related area with a focus...",Health Economics Modeling Scientist - REMOTE OPPORTUNITY!,Other
465,Microsoft,"Cambridge, MA 02142 (East Cambridge area)",Not available,"Experience in data analysis, data visualization, machine learning/data mining/AI a plus. Knowledge of machine learning, data visualization, and AI a plus....",Full Time opportunities for students & recent graduates: Mic...,Other
466,Digitas,"New York, NY 10104 (Midtown area)",Not available,✦ Proven track record leading and scaling teams of data scientists. Our Data Scientists deliver analytic solutions across a wide variety of client applications....,Vice President/Data Science,Other
474,A3 Technology Inc,"Egg Harbor Township, NJ",Not available,"Creates data views, web pages, and reports. Prepares and tracks status of required deliverables according to the project management life cycle process flow....",Computer Scientist- junior level,Other
511,Allstate,"Chandler, AZ 85249",Not available,"Strong technical aptitude, such as programming experience with Python, R, SAS, and SQL required. Tracks own plan performance and project timeline and...",Experienced Quantitative Analyst - Insurance Modeling (Remot...,Other
526,Morgan Stanley,"New York, NY",Not available,"A degree in a quantitative subject such as Engineering, Applied Mathematics, Physics, Computer Science, Statistics.•Experience in analysis and visualisation of...",Equity Derivatives Strat – Market Intelligence/Data Scientis...,Other
529,Pfizer,"Groton, CT 06340",Not available,Working knowledge of clinical data. At least 1 year relevant experience in SAS programming and knowledge of clinical trials....,Specialized Statistical Programmer (Associate),Other
531,RobustWealth,"Lambertville, NJ",Not available,"Minimum of 3 years of relevant asset management/wealth management experience working in investments, trade desk (buy/sale side), research etc....",Quantitative Analyst / Trader,Other
534,Volvo Cars Technology,"Rockleigh, NJ","$150,000 - $175,000 a year","PhD in Computer Science, Electrical Engineering, Statistics or related quantitative discipline with a focus on reinforcement learning, machine learning,...",Machine Learning Engineer(Edge-based Learning),Other
536,Goldman Sachs,"New York, NY 10282 (Tribeca area)",Not available,Leverage available data tools and collaborate with data scientists and engineers across the firm and adapt firmwide data initiatives to GIR’s needs....,"GIR, Data Strategist",Other
548,DataCamp,"New York, NY","$1,000 - $2,000 a month","Share your knowledge with over 2,770,000 data scientists around the world. That's why our course library is packed with courses from companies like Anaconda and...","Data Science Online Course Instructor (Part-Time, Contract)",Other
552,Facebook,"New York, NY 10017 (Midtown area)",Not available,Facebook is seeking a Data Scientist to join our Core Data Science team. Answer product questions by using appropriate statistical techniques on available data....,"Core Data Science, PhD University Grad",Other
554,Tapad,"New York, NY 10018 (Clinton area)",Not available,"The VP of Data Science will possess unparalleled expertise in working with large-scale data, applying classical statistical and more advanced Machine Learning...",VP of Data Science,Other
572,Volvo Cars Technology,"Rockleigh, NJ","$160,000 - $200,000 a year","Strong background in computer vision, image processing, object recognition/detection and knowledge in machine learning....",Senior Machine Learning,Other
579,"Two Sigma Investments, LLC.","New York, NY",Not available,Experience working with large data sets. We are seeking world-class researchers and engineers who are obsessive about data analysis and the pursuit of its...,Quantitative Analyst,Other
601,Wildlife Conservation Society,"Bronx Zoo, NY",Not available,"Constituency, including both scientific and lay audiences (e.g., scientists,. Report project findings in peer-reviewed scientific publications as well as...",Climate Change Adaptation Scientist,Other
604,Amazon.com,"Seattle, WA",Not available,"We are looking for an Applied Scientist who can build a scalable, distributed and robust computer vision platform based on a variety of techniques in deep...",Applied Scientist in Computer Vision - AWS Global Infrastruc...,Other
620,TD Bank,"Wilmington, DE 19803",Not available,Confidently pull the large data from database. This position will also require data analysis and statistical modeling experiences....,Quantitative Analyst III,Other
622,Starfire Dynamics,"Morrisville, NC",Not available,Creates and maintains logical and physical data models representing business Subject Areas and Enterprise Views of the organization based on the Enterprise Data...,Data Modeler,Other
634,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"As a Machine Learning Engineer, you will be responsible for building the infrastructure and implementing the algorithms developed by our ingenious data...",Machine Learning Implementation Engineer,Other
650,JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available,The Machine Learning team at JPMorgan Chase combines cutting edge machine learning techniques with the company’s unique data assets to optimize all the business...,Machine Learning Engineer - Center of Excellence - Associate,Other
656,Alpha Stats,"Piscataway, NJ","$100,000 a year","Co-ordinate project activities with data management, clinical study Biostatisticians, Clinicians and regulatory teams....",Statistical Analyst,Other
662,General Assembly,"New York, NY",Not available,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;...",Part-Time Data Science Instructor,Other
671,University of Maryland,"College Park, MD 20740",Not available,Create and manage data dictionaries for datasets. Maintain website and integrate data visualization tools in the website....,Statistical Analyst,Other
678,Google,"New York, NY 10011 (Chelsea area)",Not available,"2 years of work or educational experience in Machine Learning or Artificial Intelligence. As a software engineer, you will work on a specific project critical...","Software Engineer, Machine Learning",Other
692,Boston University,"Boston, MA",Not available,"Coordinate and document data received from different sources (web data entry, paper data collection forms, TELEform, clinical data warehouse, clinical labs);...","STATISTICAL PROGRAMMER, School of Public Health, Biostatisti...",Other
713,SunTrust,"Atlanta, GA 30328",Not available,Plays a key role in the development and implementation of market risk models and risk analytics tools as a part of Marker Risk Model Development group....,Statistical Quantitative Analyst,Other
720,Liberty Mutual,"Dover, NH","$119,400 - $156,300 a year","Knowledge of a variety of data platforms relational data, XML, Data Lakes, unstructured data solutions....",Technologist - Data Analysis,Other
728,Publicis Spine,"New York, NY",Not available,"This role is with a team of over 100+ engineers and data scientists across NYC, Boston, Chicago and India to drive the development of Publicis PeopleCloud....","Chief Technology Officer, Publicis PeopleCloud",Other
